socket_type,N,data_size,D0_times,D1_times,D2_times,RUN
tcp,1,32768,0.000140194,0.008635299,0.000670428,11
tcp,1,32768,0.002398966,0.001356387,0.00833014,12
tcp,1,32768,0.003704712,0.004642828,0.001237924,13
tcp,1,32768,0.003872237,0.000758471,0.001113751,14
tcp,1,32768,0.017222595,0.000670048,0.01776306,15
tcp,1,32768,0.010850609,0.011054295,0.000450762,16
tcp,1,32768,0.000694079,0.000830283,0.000642578,17
tcp,1,32768,0.003510667,0.006583771,0.001033449,18
tcp,1,32768,0.00072749,0.000788912,0.000646388,19
tcp,1,32768,0.000681019,0.000797152,0.000623167,20
tcp,1,32768,0.002277203,0.003559058,0.001017538,21
tcp,1,32768,0.001031098,0.002674054,0.001067469,22
tcp,1,32768,0.00252506,0.00108469,0.0043416,23
tcp,1,32768,0.004952226,0.000793652,0.009627665,24
tcp,1,32768,0.00073761,0.000535295,0.00072497,25
tcp,1,32768,0.001497121,0.000757472,0.015055215,26
tcp,1,32768,0.000909375,0.003291871,0.000979978,27
tcp,1,32768,0.000608617,0.00075086,0.000514064,28
tcp,1,32768,0.007882898,0.001217094,0.00109141,29
tcp,1,32768,0.000416401,0.000622227,0.011509408,30
tcp,1,32768,0.002951811,0.001933973,0.000964426,31
tcp,1,32768,0.000660439,0.000766941,0.000610067,32
tcp,1,32768,0.000676049,0.003585669,0.001021699,33
tcp,1,32768,0.000688239,0.000800452,0.000631217,34
tcp,1,32768,0.001573113,0.001002178,0.004066993,35
tcp,1,32768,0.009464871,0.001671506,0.00108754,36
tcp,1,32768,0.001167542,0.001322046,0.000894635,37
tcp,1,32768,0.005699317,0.000847174,0.000694039,38
tcp,1,32768,0.002221381,0.013427331,0.000978327,39
tcp,1,32768,0.000744911,0.000833473,0.000664258,40
tcp,1,32768,0.000702499,0.000791422,0.000675928,41
tcp,1,32768,0.000923765,0.001980665,0.000810712,42
tcp,1,32768,0.000921625,0.00146396,0.000795891,43
tcp,1,32768,0.000458642,0.000702229,0.003794004,44
tcp,1,32768,0.009463621,0.000871054,0.002676234,45
tcp,1,32768,0.001019408,0.000856794,0.010228583,46
tcp,1,32768,0.002685124,0.003500567,0.001038118,47
tcp,1,32768,0.000133464,0.003155667,0.006295734,48
tcp,1,32768,0.000115813,0.00142407,0.000676239,49
tcp,1,32768,0.001528342,0.006009566,0.000886204,50
tcp,2,1,0.000521435,0.000572616,0.000547926,1
tcp,2,1,0.000659488,0.000753051,0.00213989,2
tcp,2,1,0.00038077,0.000399981,0.000334819,3
tcp,2,1,0.000862923,0.00070531,0.002151559,4
tcp,2,1,0.000475123,0.000497854,0.000531415,5
tcp,2,1,0.013115422,0.000652938,0.001545852,6
tcp,2,1,0.000526935,0.000534775,0.000498324,7
tcp,2,1,0.000493593,0.000563226,0.000547005,8
tcp,2,1,0.001011654,0.000976243,0.002025097,9
tcp,2,1,0.002492763,0.00451649,0.000517537,10
tcp,2,1,0.00092302,0.008706388,0.003378712,11
tcp,2,1,0.002464902,0.0005938,0.000557148,12
tcp,2,1,0.000846438,0.001317603,0.00605797,13
tcp,2,1,0.00061167,0.002634667,0.002052647,14
tcp,2,1,0.000678242,0.00364707,0.001137918,15
tcp,2,1,0.0024214,0.002477102,0.000505447,16
tcp,2,1,0.002275285,0.000798136,0.00123154,17
tcp,2,1,0.000772985,0.001037254,0.001906332,18
tcp,2,1,0.012489449,0.000701852,0.005723017,19
tcp,2,1,0.000746265,0.007832296,0.003370471,20
tcp,2,1,0.000486626,0.00059423,0.000547848,21
tcp,2,1,0.001907422,0.000818947,0.001443457,22
tcp,2,1,0.003311498,0.001954284,0.001185878,23
tcp,2,1,0.000545048,0.00061893,0.000585649,24
tcp,2,1,0.002002016,0.000849108,0.001034214,25
tcp,2,1,0.00586046,0.001246731,0.002886993,26
tcp,2,1,0.000490136,0.000565928,0.000522497,27
tcp,2,1,0.000886598,0.004354031,0.011658757,28
tcp,2,1,0.000497467,0.003487572,0.009495027,29
tcp,2,1,0.004847886,0.001091245,0.0009355,30
tcp,2,1,0.010803208,0.011703807,0.000496556,31
tcp,2,1,0.00466284,0.00093378,0.00404204,32
tcp,2,1,0.000569469,0.000560968,0.000566698,33
tcp,2,1,0.000552677,0.003055858,0.001054894,34
tcp,2,1,0.00654257,0.000843767,0.002130758,35
tcp,2,1,0.005009071,0.002845641,0.000798265,36
tcp,2,1,0.007590053,0.001367164,0.004207284,37
tcp,2,1,0.001042494,0.001099355,0.000488526,38
tcp,2,1,0.000666451,0.003601575,0.005498446,39
tcp,2,1,0.004880405,0.000766634,0.00345703,40
tcp,2,1,0.001301962,0.00160362,0.001200078,41
tcp,2,1,0.003086859,0.00094052,0.000963971,42
tcp,2,1,0.000501526,0.000584469,0.000556298,43
tcp,2,1,0.004765931,0.000649001,0.000592729,44
tcp,2,1,0.004292016,0.000738504,0.004345718,45
tcp,2,1,0.000860737,0.002189689,0.003922424,46
tcp,2,1,0.000490655,0.010588655,0.000497775,47
tcp,2,1,0.004668548,0.001132306,0.003592844,48
tcp,2,1,0.004697298,0.001079454,0.000852897,49
tcp,2,1,0.000494976,0.000594148,0.000539017,50
tcp,2,8,0.000827016,0.001670592,0.00095543,1
tcp,2,8,0.010733247,0.000451565,0.002505869,2
tcp,2,8,0.001193707,0.000889988,0.000852357,3
tcp,2,8,0.00064791,0.005026138,0.001047903,4
tcp,2,8,0.004206662,0.000597639,0.000556638,5
tcp,2,8,0.000504146,0.000564408,0.000500115,6
tcp,2,8,0.000522437,0.003682655,0.000585408,7
tcp,2,8,0.008798945,0.004430869,0.000892888,8
tcp,2,8,0.001677863,0.002413515,0.001236559,9
tcp,2,8,0.000555148,0.001482606,0.002659183,10
tcp,2,8,0.000490896,0.000571998,0.000534917,11
tcp,2,8,0.004640234,0.000494285,0.004683836,12
tcp,2,8,0.000512666,0.000572988,0.000520186,13
tcp,2,8,0.001959651,0.007560885,0.000940149,14
tcp,2,8,0.007861864,0.000651341,0.009309279,15
tcp,2,8,0.006316756,0.00100278,0.005696287,16
tcp,2,8,0.001967561,0.000791054,0.012298651,17
tcp,2,8,0.000474205,0.000530047,0.000483905,18
tcp,2,8,0.000721222,0.000957159,0.004494009,19
tcp,2,8,0.001437234,0.001533217,0.000813645,20
tcp,2,8,0.000519267,0.000600588,0.007932765,21
tcp,2,8,0.000515356,0.00063464,0.000587958,22
tcp,2,8,0.000543496,0.000604158,0.000508646,23
tcp,2,8,0.000505195,0.000569127,0.000513706,24
tcp,2,8,0.000288339,0.000342081,0.005546961,25
tcp,2,8,0.001816366,0.001199037,0.001000571,26
tcp,2,8,0.008261294,0.00098096,0.011829934,27
tcp,2,8,0.001695362,0.003747755,0.000853477,28
tcp,2,8,0.006567592,0.000726122,0.003536378,29
tcp,2,8,0.00357615,0.001245608,0.003746635,30
tcp,2,8,0.000499605,0.000520976,0.000525876,31
tcp,2,8,0.00063786,0.009199141,0.000706882,32
tcp,2,8,0.000699442,0.009407677,0.002802846,33
tcp,2,8,0.000507156,0.000506436,0.000515706,34
tcp,2,8,0.000715913,0.008997995,0.002867257,35
tcp,2,8,0.000473424,0.000568078,0.000518976,36
tcp,2,8,0.000441163,0.000477665,0.000470304,37
tcp,2,8,0.00032841,0.000378292,0.005824527,38
tcp,2,8,0.000399702,0.001882847,0.012666085,39
tcp,2,8,0.003405253,0.003537548,0.000771684,40
tcp,2,8,0.003151476,0.001047232,0.001659971,41
tcp,2,8,0.003136255,0.001801135,0.00130412,42
tcp,2,8,0.003229138,0.011367725,0.000870726,43
tcp,2,8,0.000469795,0.000585718,0.000533056,44
tcp,2,8,0.000508975,0.000530096,0.000516926,45
tcp,2,8,0.000546846,0.000633889,0.000597268,46
tcp,2,8,0.000921347,0.001113834,0.004600109,47
tcp,2,8,0.001881916,0.002064672,0.000943369,48
tcp,2,8,0.000506385,0.000544316,0.000518796,49
tcp,2,8,0.00263515,0.002118434,0.001140164,50
tcp,2,64,0.004466265,0.000619558,0.000572917,1
tcp,2,64,0.005759254,0.001111383,0.001187416,2
tcp,2,64,0.000527316,0.002590768,0.002385162,3
tcp,2,64,0.000778434,0.002524136,0.007109185,4
tcp,2,64,0.000634639,0.001361641,0.01161866,5
tcp,2,64,0.00267902,0.000877736,0.001358881,6
tcp,2,64,0.000494295,0.000560217,0.000511815,7
tcp,2,64,0.000643689,0.001438443,0.004452544,8
tcp,2,64,0.005538996,0.001450014,0.001199256,9
tcp,2,64,0.002662651,0.004074012,0.000764173,10
tcp,2,64,0.002618129,0.000741142,0.001084652,11
tcp,2,64,0.000835155,0.01231845,0.004247947,12
tcp,2,64,0.00033493,0.000424483,0.000356611,13
tcp,2,64,0.001607828,0.000940698,0.001202046,14
tcp,2,64,0.000830094,0.000806674,0.000929748,15
tcp,2,64,0.000560637,0.003426502,0.001275868,16
tcp,2,64,0.000707431,0.001718781,0.001859996,17
tcp,2,64,0.000556876,0.000800244,0.007420931,18
tcp,2,64,0.000408352,0.00100166,0.001791083,19
tcp,2,64,0.000612778,0.00066195,0.000620508,20
tcp,2,64,0.000623069,0.001055381,0.001812834,21
tcp,2,64,0.000620718,0.002052322,0.000877816,22
tcp,2,64,0.00202296,0.001624458,0.002053561,23
tcp,2,64,0.000549507,0.000642099,0.000563787,24
tcp,2,64,0.000591778,0.001300259,0.002234696,25
tcp,2,64,0.000488654,0.000483204,0.000487084,26
tcp,2,64,0.000447073,0.000509135,0.000473904,27
tcp,2,64,0.006768061,0.000977769,0.000912967,28
tcp,2,64,0.000623759,0.003641348,0.001463623,29
tcp,2,64,0.012335736,0.003762492,0.001050191,30
tcp,2,64,0.007040909,0.000794603,0.012893773,31
tcp,2,64,0.003798953,0.00067194,0.001065581,32
tcp,2,64,0.002528045,0.012404738,0.000915217,33
tcp,2,64,0.000795253,0.000836535,0.000808634,34
tcp,2,64,0.009216253,0.003164154,0.001128224,35
tcp,2,64,0.000802433,0.01517702,0.003944346,36
tcp,2,64,0.000469944,0.000544297,0.000536776,37
tcp,2,64,0.000527745,0.000603778,0.000582138,38
tcp,2,64,0.000574997,0.000650569,0.000557967,39
tcp,2,64,0.003177803,0.002611847,0.000910547,40
tcp,2,64,0.000493214,0.000573627,0.000526506,41
tcp,2,64,0.000577317,0.009148219,0.001315578,42
tcp,2,64,0.002204225,0.002291428,0.000914557,43
tcp,2,64,0.001311589,0.004177213,0.00101205,44
tcp,2,64,0.000344,0.000371941,0.000365901,45
tcp,2,64,0.000612108,0.001553716,0.003500384,46
tcp,2,64,0.000580887,0.003299207,0.002464793,47
tcp,2,64,0.002233616,0.004036719,0.000527885,48
tcp,2,64,0.000596758,0.000708941,0.000630739,49
tcp,2,64,0.001573396,0.000805553,0.004559265,50
tcp,2,512,0.000491475,0.000566466,0.000533976,1
tcp,2,512,0.000497385,0.000616588,0.000595088,2
tcp,2,512,0.003537894,0.000598108,0.000532026,3
tcp,2,512,0.000605317,0.000734092,0.00068824,4
tcp,2,512,0.00100099,0.001220705,0.005366478,5
tcp,2,512,0.000514875,0.000551386,0.000545336,6
tcp,2,512,0.006325306,0.00204885,0.000907907,7
tcp,2,512,0.001974218,0.000980689,0.014109614,8
tcp,2,512,0.000450673,0.000577197,0.000521385,9
tcp,2,512,0.00067534,0.000718081,0.004038158,10
tcp,2,512,0.006715607,0.009141168,0.001195105,11
tcp,2,512,0.000507385,0.000513375,0.000535405,12
tcp,2,512,0.000400151,0.001658699,0.00136463,13
tcp,2,512,0.000904926,0.006247983,0.001048991,14
tcp,2,512,0.000502505,0.000575387,0.000533706,15
tcp,2,512,0.001646958,0.000789293,0.00171651,16
tcp,2,512,0.000484074,0.000574577,0.000535745,17
tcp,2,512,0.002938446,0.001017099,0.003190644,18
tcp,2,512,0.006755758,0.000606217,0.000556006,19
tcp,2,512,0.003632537,0.000549165,0.000512395,20
tcp,2,512,0.011036443,0.002573215,0.000768153,21
tcp,2,512,0.003982096,0.000855715,0.001419651,22
tcp,2,512,0.000459654,0.000568586,0.000538716,23
tcp,2,512,0.003051299,0.000569947,0.000526216,24
tcp,2,512,0.003880453,0.000769722,0.001741801,25
tcp,2,512,0.007423216,0.000552506,0.005671175,26
tcp,2,512,0.000494414,0.000599518,0.000539105,27
tcp,2,512,0.001335808,0.000993179,0.00341916,28
tcp,2,512,0.000666739,0.001335309,0.001239146,29
tcp,2,512,0.000575957,0.000657929,0.000583857,30
tcp,2,512,0.002803772,0.00066513,0.000638818,31
tcp,2,512,0.000466194,0.000544746,0.000476543,32
tcp,2,512,0.000875346,0.000964618,0.000902076,33
tcp,2,512,0.000412382,0.000442263,0.000426192,34
tcp,2,512,0.000505455,0.000472894,0.000428623,35
tcp,2,512,0.000425852,0.000480594,0.000440613,36
tcp,2,512,0.006016965,0.000478894,0.000445583,37
tcp,2,512,0.000420703,0.000537036,0.000491474,38
tcp,2,512,0.007324982,0.000466013,0.000429923,39
tcp,2,512,0.000519985,0.006000505,0.000489944,40
